rank,cand_id,score,demand_total_pop,demand_underserved_pop,park_dist_m,area_m2,flood_risk_0_1,flood_norm,centroid_x,centroid_y
1,616,0.6999169593435011,15680.398798870694,3393.114168562318,861.003917391124,1680.1047270412128,0.0,1.0,318345.6423027844,178081.0800272412
2,348,0.6683570876749856,4427.659456753653,4210.330374071204,1401.7065109341088,1639.6506930115204,0.0,1.0,320029.91986983706,179589.82751543206
3,857,0.6428783356920728,4374.453575223383,2348.6736324228023,859.9721101122292,5420.626101517488,0.0013159101128639315,0.9986840898871361,322378.2874369864,180761.11290950954
4,418,0.6184443450906072,3298.8872746465286,2652.2384139008564,1301.6375776724751,726.3130453538095,0.0,1.0,319415.32677535556,180460.17017959477
5,62,0.6013282182547557,2382.1598965364865,1444.4771019833836,743.4297506188644,16405.118390634045,0.010467091103469045,0.989532908896531,317898.17732095736,173260.6759084781
6,1025,0.5810497908804846,357.81727102708584,357.81727102708584,3149.9069024208543,13024.600510048165,0.0,1.0,314230.64271626924,184466.61242848317
7,834,0.5632343816503831,2352.949836160127,1388.3301168868197,969.7595682262202,3996.3454542765185,0.0,1.0,314818.5320358326,181362.15005758344
8,339,0.5630203720870033,3243.507923621952,2289.5153132081837,827.1631027714618,804.0521491127007,0.0,1.0,322305.7127830378,179428.75369988958
9,706,0.6095909590270258,4283.155539843993,1686.6930070112876,815.7489450263555,21766.769584247635,0.5603162042392194,0.43968379576078065,316328.3794649633,178422.38118691518
10,452,0.6018759475691314,1976.0674523561584,1213.1449840127077,1178.0719646011771,2921.012098044755,0.0,1.0,319479.68217901344,181364.3593982843
