rank,cand_id,score,demand_total_pop,demand_underserved_pop,park_dist_m,area_m2,flood_risk_0_1,flood_norm,centroid_x,centroid_y
1,186,0.6756277064314324,20396.506931089785,0.0,351.68308981601706,675.7547293567739,0.0,1.0,263952.87703862094,192979.78602653157
2,182,0.6926060851508641,18109.80377858625,0.0,490.45566597140925,916.3034114845899,0.0,1.0,264814.429267158,193079.73195522296
3,35,0.7431994065534532,15340.836891289198,0.0,369.88173673393817,4154.573007188827,0.0,1.0,264446.76119120605,192452.46015888383
4,199,0.721517407618744,13075.29705629867,669.2703479384865,707.6274484557703,983.6568222872015,0.0,1.0,265510.6742366527,193745.42978190762
5,210,0.6890495274019993,13459.034459018176,0.0,384.4325037583046,1041.8152239354285,0.02573317872212317,0.9742668212778768,265302.37437724305,194598.6052887331
6,390,0.6860293620335665,11534.97440441615,174.4683210750017,514.0862626885763,636.9638116389867,0.0,1.0,265447.98447687237,195809.59344067817
7,59,0.6816272607571984,10602.050892945348,0.0,562.9012666786056,3107.8032476020667,0.08874247065616961,0.9112575293438304,265183.1382194419,192877.4441435876
8,39,0.684360598244687,10533.445002880437,0.0,387.0868041912093,924.6123450793408,0.0,1.0,265054.7188779017,192318.38592651876
9,202,0.679564730648913,10622.694786642665,0.0,682.9186966357952,516.6783781440965,0.0,1.0,264448.6196007946,194039.50838741238
10,219,0.7080784304377346,9812.885270489258,0.0,156.85834501068246,2247.215599038207,0.0,1.0,264621.9659050961,195133.6893023964
