rank,cand_id,score,demand_total_pop,demand_underserved_pop,park_dist_m,area_m2,flood_risk_0_1,flood_norm,centroid_x,centroid_y
1,317,0.7978592170398291,402.3506612670902,381.83717988223077,1287.220815326658,29546.55851628618,0.0006236693388641954,0.9993763306611358,268496.5940709009,197198.64575792683
2,413,0.7861192633980605,982.1014058988636,757.1638745656879,1110.4205650243484,19293.638784405866,0.010280282139884812,0.9897197178601151,262404.57733707805,196636.22065635436
3,269,0.7618869525748686,2180.9321882008185,1186.0181477734734,434.937483051792,17072.897154063478,0.0,1.0,267909.6234716786,193172.27969136607
4,226,0.7614406031588699,577.3209408942191,420.27105953723105,1244.5400501605307,16220.217371332557,0.004917845531625598,0.9950821544683744,262912.93607206765,195705.9473643618
5,297,0.7571902392165526,955.755692484335,653.6349952311663,1067.772654057493,15164.28514993946,0.0,1.0,266432.074722728,195636.1934556015
6,165,0.7495376266786442,2119.5921250309116,1157.0264861304818,922.6994223534357,11615.311392355125,0.0025593157258162716,0.9974406842741838,265900.72672965424,193415.20681739214
7,423,0.7426440295535496,529.1080836534155,0.0,780.8699905728937,20849.093616654725,0.005251088597798581,0.9947489114022015,265357.13111483963,198749.85382169415
8,373,0.726074765918792,259.872089759266,204.96953558477315,1017.5972150304543,14409.177093296219,0.0032062899706635866,0.9967937100293364,260539.67973092542,197253.58016815063
9,425,0.72077141136825,184.5380636084665,69.15226966277315,432.366100223667,22780.457578790003,0.035770378190184686,0.9642296218098153,264123.57648352196,200034.2806191893
10,292,0.7255638500039436,1368.1430646987992,321.60422364610736,676.4597597637486,13253.691828205177,0.004591128783014755,0.9954088712169853,266146.00915930833,195236.17393352507
