rank,cand_id,score,demand_total_pop,demand_underserved_pop,park_dist_m,area_m2,flood_risk_0_1,flood_norm,centroid_x,centroid_y
1,176,0.8204593513040525,3849.7242077416854,2699.974667807928,1144.614174232953,2550.0167470569,0.0,1.0,265955.0934207387,193949.1992726148
2,441,0.7128870861576434,3185.997827084927,2175.934330735744,857.4265584435113,883.3869632710997,0.39119417744760504,0.6088058225523949,267143.89098249126,198354.15096151715
3,339,0.797770031623012,2650.0449170327406,1720.260196314147,1056.4986216564641,2820.4257331285658,0.022992143335778176,0.9770078566642219,266008.8283335661,197601.243353769
4,245,0.7304545276183011,2637.358396104223,1596.3494700135511,822.7988484164705,545.6965396036759,0.0,1.0,260643.5660893033,193410.41411576993
5,233,0.74034383056525,3902.4481675702054,1517.2200288962747,473.0632345657751,2918.0640699502846,0.0,1.0,264410.2661802243,196216.63675536742
6,131,0.7595155265003319,1422.7042795415553,1259.8991619666374,1181.1491062708349,1139.0418867427327,0.0,1.0,267539.84237092524,192872.18559728074
7,249,0.7533305319662629,1976.0712061823897,1317.2621236295554,1036.0380943349596,610.571009762893,0.0,1.0,261784.3326546952,193210.02382857597
8,434,0.7452672110822536,2294.0700104209045,1235.834518981497,708.0185693431669,2165.227854266322,0.012408255626748303,0.9875917443732517,270368.93813230825,198384.14846918438
9,392,0.7369635045312767,3128.86813098943,1035.235029073479,1011.9369401172451,623.4547579630375,5.20083145854563e-08,0.9999999479916855,265123.35596193065,196423.92030696248
10,76,0.7456323497577576,1772.6345272683689,1065.135765122231,1006.4269486139568,562.9950545534464,0.0,1.0,260262.4989664726,189082.70811805
