rank,cand_id,score,demand_total_pop,demand_underserved_pop,park_dist_m,area_m2,flood_risk_0_1,flood_norm,centroid_x,centroid_y
1,176,0.8176709154504307,3849.7242077416854,2699.974667807928,1144.614174232953,2550.0167470569,0.0,1.0,265955.0934207387,193949.1992726148
2,339,0.7539554839611029,2650.0449170327406,1720.260196314147,1056.4986216564641,2820.4257331285658,0.022992143335778176,0.9770078566642219,266008.8283335661,197601.243353769
3,326,0.7468580654518511,3437.3483356949946,1956.3077121836411,775.3078128202511,890.0088173883362,0.0013315257022750032,0.998668474297725,266928.1854898399,198210.92668237234
4,233,0.7723523365678788,3902.4481675702054,1517.2200288962747,473.0632345657751,2918.0640699502846,0.0,1.0,264410.2661802243,196216.63675536742
5,269,0.7566943969637983,2180.9321882008185,1186.0181477734734,434.937483051792,17072.897154063478,0.0,1.0,267909.6234716786,193172.27969136607
6,245,0.7417927338301568,2637.358396104223,1596.3494700135511,822.7988484164705,545.6965396036759,0.0,1.0,260643.5660893033,193410.41411576993
7,189,0.7613079480616233,3839.220501828172,1107.47422072675,845.3171184179216,1464.0009663522414,0.0,1.0,262285.00654831034,193352.94260947572
8,413,0.7594706514860541,982.1014058988636,757.1638745656879,1110.4205650243484,19293.638784405866,0.010280282139884812,0.9897197178601151,262404.57733707805,196636.22065635436
9,434,0.7571206809951745,2294.0700104209045,1235.834518981497,708.0185693431669,2165.227854266322,0.012408255626748303,0.9875917443732517,270368.93813230825,198384.14846918438
10,445,0.7583807474475596,1212.8025310023093,876.5425553729451,812.8397319163751,8631.317260624226,0.0,1.0,266387.9019637978,199855.71838195572
